FDA,(Multiple Items),,,,,,
,,,,,,,
Sum of Total_Amount_of_Payment_USDollars,,,,,,,
Row Labels,Total,,overall,fda investment,fda,,0.097493711
1/1/14,4374278.69,1/1/14,4510291.77,4374278.69,2.8,,12/19/13
1/2/14,891771.66,1/2/14,1462890.48,891771.66,2.6,,
1/3/14,190009.5,1/3/14,343660.86,190009.5,0.0,,
1/6/14,2129534.76,1/4/14,45,0,3.6,,
1/7/14,561665.78,1/6/14,3614986.61,2129534.76,4.8,,
1/8/14,796855.62,1/7/14,1484906.22,561665.78,5.2,,
1/9/14,871544.2,1/8/14,2430491.03,796855.62,4.8,,
1/10/14,458525.37,1/9/14,1408834.36,871544.2,0.0,,
1/13/14,2127746.98,1/10/14,771886.22,458525.37,0.0,,
1/14/14,1135522.73,1/13/14,2369164.45,2127746.98,0.0,,
1/15/14,2873966.88,1/14/14,1464126.51,1135522.73,3.2,,
1/16/14,1005992.99,1/15/14,3825900.79,2873966.88,1.6,,
1/17/14,498531.85,1/16/14,1618392.14,1005992.99,0.0,,
1/18/14,5448.64,1/17/14,913741.71,498531.85,0.0,,
1/19/14,63764.64,1/18/14,14530.82,5448.64,0.0,,
1/20/14,978900.92,1/19/14,63929.64,63764.64,1.8,,
1/21/14,425246.6,1/20/14,1093468.75,978900.92,0.0,,
1/22/14,443089.45,1/21/14,634296.23,425246.6,0.0,,
1/23/14,2878159.76,1/22/14,561541.05,443089.45,2.0,,
1/24/14,392147.38,1/23/14,4017312.09,2878159.76,0.0,,
1/27/14,963085.93,1/24/14,11162904.96,392147.38,2.4,,
1/28/14,665619.54,1/25/14,62269,0,2.4,,
1/29/14,675975.65,1/27/14,1828225.45,963085.93,3.0,,
1/30/14,2329555.24,1/28/14,1426145.16,665619.54,3.0,,
1/31/14,730675.98,1/29/14,1068445.69,675975.65,0.0,,
2/1/14,5060.6,1/30/14,3727217.85,2329555.24,0.0,,
2/3/14,1023664.2,1/31/14,1097202.01,730675.98,0.0,,
2/4/14,1112821.89,2/1/14,79369.6,5060.6,3.2,,
2/5/14,337632.77,2/2/14,1456.02,0,3.2,,
2/6/14,737238.4,2/3/14,1261365.82,1023664.2,3.2,,
2/7/14,1253503.57,2/4/14,1410375.66,1112821.89,0.0,,
2/8/14,2110.7,2/5/14,1458278.4,337632.77,0.0,,
2/10/14,547233.57,2/6/14,1327302.26,737238.4,0.0,,
2/11/14,588782.06,2/7/14,1428420.11,1253503.57,3.8,,
2/12/14,705023.66,2/8/14,2110.7,2110.7,3.2,,
2/13/14,339712.19,2/10/14,936674.89,547233.57,2.8,,
2/14/14,860906.05,2/11/14,1212778.01,588782.06,0.0,,
2/15/14,72435.14,2/12/14,1337897.48,705023.66,0.0,,
2/16/14,570318.83,2/13/14,689789.36,339712.19,0.0,,
2/17/14,224755.07,2/14/14,1133931.31,860906.05,3.0,,
2/18/14,749660.28,2/15/14,112746.42,72435.14,3.2,,
2/19/14,1361113.38,2/16/14,570318.83,570318.83,2.0,,
2/20/14,213347.16,2/17/14,681750.32,224755.07,2.0,,
2/21/14,526440.46,2/18/14,989561.21,749660.28,0.0,,
2/24/14,173338.39,2/19/14,1585808.78,1361113.38,0.0,,
2/25/14,238492.38,2/20/14,1453399.98,213347.16,0.0,,
2/26/14,317440.35,2/21/14,792070,526440.46,2.0,,
2/27/14,510042.59,2/22/14,500,0,1.8,,
2/28/14,252194.99,2/23/14,3714,0,0.0,,
3/1/14,470574,2/24/14,344442.74,173338.39,1.8,,
3/2/14,13436,2/25/14,833426.24,238492.38,1.8,,
3/3/14,423235.96,2/26/14,801423.99,317440.35,0.0,,
3/4/14,319253.45,2/27/14,1117001.22,510042.59,2.2,,
3/5/14,145087.07,2/28/14,981064.85,252194.99,2.2,,
3/6/14,118493.57,3/1/14,562038.74,470574,2.2,,
3/7/14,91494.8,3/2/14,14536.06,13436,0.0,,
3/9/14,650,3/3/14,630005.38,423235.96,0.0,,
3/10/14,1391737.12,3/4/14,583887.52,319253.45,2.0,,
3/11/14,85433.13,3/5/14,301762.03,145087.07,0.0,,
3/12/14,415262.38,3/6/14,365243.71,118493.57,2.2,,
3/13/14,616457.26,3/7/14,727713.13,91494.8,2.0,,
3/14/14,478081.77,3/8/14,269.8,0,0.0,,
3/17/14,599334.14,3/9/14,650,650,2.6,,
3/18/14,118198.08,3/10/14,2049420.87,1391737.12,3.6,,
3/19/14,381672.07,3/11/14,772397.42,85433.13,3.8,,
3/20/14,381338.82,3/12/14,590532.43,415262.38,3.6,,
3/21/14,229502.74,3/13/14,805301.1,616457.26,0.0,,
3/24/14,239032.92,3/14/14,593344.69,478081.77,3.2,,
3/25/14,264851.56,3/15/14,87380,0,3.0,,
3/26/14,172492.36,3/17/14,683169.04,599334.14,1.8,,
3/27/14,390854.76,3/18/14,733000.5,118198.08,2.6,,
3/28/14,339063.96,3/19/14,722517.33,381672.07,0.0,,
3/29/14,21034.4,3/20/14,683810.87,381338.82,0.0,,
3/31/14,186573.78,3/21/14,524820.25,229502.74,0.0,,
4/1/14,604133.79,3/22/14,5905,0,2.6,,
4/2/14,975936.54,3/23/14,1354,0,2.6,,
4/3/14,774926.01,3/24/14,735750.28,239032.92,2.6,,
4/4/14,347354.48,3/25/14,610808.52,264851.56,0.0,,
4/5/14,5737.5,3/26/14,552093.25,172492.36,0.0,,
4/6/14,88690,3/27/14,671144.11,390854.76,3.6,,
4/7/14,571289.13,3/28/14,635893.41,339063.96,3.0,,
4/8/14,348202.6,3/29/14,69633.2,21034.4,3.2,,
4/9/14,181426.46,3/30/14,8460,0,3.2,,
4/10/14,1046851.08,3/31/14,1006773.45,186573.78,3.2,,
4/11/14,244829.72,4/1/14,720624,604133.79,0.0,,
4/14/14,157889.37,4/2/14,1855042.84,975936.54,2.2,,
4/15/14,147540.77,4/3/14,1330668.88,774926.01,2.4,,
4/16/14,421329.61,4/4/14,471611.79,347354.48,2.4,,
4/17/14,260397.12,4/5/14,5737.5,5737.5,2.0,,
4/18/14,47817.99,4/6/14,88690,88690,2.0,,
4/21/14,499509.28,4/7/14,3758108.73,571289.13,1.6,,
4/22/14,121121.78,4/8/14,919456.13,348202.6,0.0,,
4/23/14,350982.26,4/9/14,616557.8,181426.46,2.0,,
4/24/14,175488.89,4/10/14,1302719.61,1046851.08,2.6,,
4/25/14,256911.33,4/11/14,669812.56,244829.72,0.0,,
4/26/14,140,4/13/14,36779.68,0,0.0,,
4/27/14,2697,4/14/14,604344.86,157889.37,2.6,,
4/28/14,402207.74,4/15/14,286538.62,147540.77,2.2,,
4/29/14,305996.25,4/16/14,534304.62,421329.61,3.2,,
4/30/14,1105996.19,4/17/14,462328.53,260397.12,3.2,,
5/1/14,608657.13,4/18/14,144047.1,47817.99,3.2,,
5/2/14,309553.37,4/20/14,31207,0,0.0,,
5/3/14,227.73,4/21/14,1362921.07,499509.28,0.0,,
5/4/14,545.73,4/22/14,357741.13,121121.78,3.4,,
5/5/14,212224.03,4/23/14,1133602.05,350982.26,0.0,,
5/6/14,222088.83,4/24/14,761517.48,175488.89,0.0,,
5/7/14,188241.59,4/25/14,746738.77,256911.33,3.6,,
5/8/14,125895.15,4/26/14,140,140,3.6,,
5/9/14,158124.02,4/27/14,2697,2697,0.0,,
5/10/14,334.02,4/28/14,673827.92,402207.74,0.0,,
5/11/14,568.58,4/29/14,577553.15,305996.25,3.6,,
5/12/14,247023.48,4/30/14,1237552.03,1105996.19,0.0,,
5/13/14,382113.63,5/1/14,1140839.62,608657.13,3.0,,
5/14/14,226203.13,5/2/14,396509.87,309553.37,2.8,,
5/15/14,547968.85,5/3/14,227.73,227.73,2.6,,
5/16/14,48405.4,5/4/14,545.73,545.73,0.0,,
5/17/14,42,5/5/14,844117.85,212224.03,0.0,,
5/18/14,40316.8,5/6/14,388308.78,222088.83,2.2,,
5/19/14,60545.22,5/7/14,363929.56,188241.59,1.8,,
5/20/14,671676.07,5/8/14,501061.27,125895.15,2.2,,
5/21/14,479784.72,5/9/14,429845.59,158124.02,2.6,,
5/22/14,112181.1,5/10/14,6377.58,334.02,0.0,,
5/23/14,205499.09,5/11/14,49683.58,568.58,0.0,,
5/25/14,580.43,5/12/14,462673.57,247023.48,2.4,,
5/26/14,5454.41,5/13/14,666523.95,382113.63,0.0,,
5/27/14,114297.51,5/14/14,395205.82,226203.13,1.8,,
5/28/14,280736.77,5/15/14,978724.54,547968.85,1.8,,
5/29/14,235507.11,5/16/14,373245.96,48405.4,0.0,,
5/30/14,293004.82,5/17/14,1114.38,42,0.0,,
5/31/14,7167.23,5/18/14,40667.9,40316.8,0.0,,
6/1/14,97254.84,5/19/14,271111.15,60545.22,2.2,,
6/2/14,160011.79,5/20/14,1637354.97,671676.07,2.0,,
6/3/14,64731.25,5/21/14,642680.37,479784.72,2.0,,
6/4/14,125393.35,5/22/14,307723.84,112181.1,2.2,,
6/5/14,349787.17,5/23/14,358988.7,205499.09,0.0,,
6/6/14,218086.06,5/25/14,580.43,580.43,0.0,,
6/7/14,1248.05,5/26/14,5454.41,5454.41,0.0,,
6/8/14,986,5/27/14,390052.93,114297.51,2.6,,
6/9/14,902708.43,5/28/14,570195.19,280736.77,2.6,,
6/10/14,272585.82,5/29/14,287861.32,235507.11,3.6,,
6/11/14,471726.69,5/30/14,844146.84,293004.82,3.8,,
6/12/14,461713.48,5/31/14,95187.35,7167.23,4.0,,
6/13/14,145227.45,6/1/14,163436.67,97254.84,0.0,,
6/14/14,1032,6/2/14,417619.97,160011.79,0.0,,
6/16/14,304918.06,6/3/14,463365.63,64731.25,0.0,,
6/17/14,225419.47,6/4/14,562240.49,125393.35,3.8,,
6/18/14,244005.94,6/5/14,574392.71,349787.17,3.4,,
6/19/14,206230.34,6/6/14,533197.49,218086.06,2.4,,
6/20/14,92266.2,6/7/14,4250.13,1248.05,0.0,,
6/21/14,4893.75,6/8/14,986,986,0.0,,
6/23/14,856545.23,6/9/14,1009096.41,902708.43,3.2,,
6/24/14,953052.47,6/10/14,401383.02,272585.82,3.0,,
6/25/14,210830.89,6/11/14,699079.31,471726.69,2.6,,
6/26/14,504222.2,6/12/14,1073744.19,461713.48,0.0,,
6/27/14,457348.12,6/13/14,411679.74,145227.45,0.0,,
6/30/14,267306.91,6/14/14,1032,1032,1.8,,
7/1/14,70381.38,6/15/14,10132,0,1.4,,
7/2/14,206405.25,6/16/14,1508198.45,304918.06,1.8,,
7/3/14,154835.45,6/17/14,322535.79,225419.47,2.0,,
7/4/14,1417206,6/18/14,638705.21,244005.94,0.0,,
7/7/14,266482.22,6/19/14,596591.61,206230.34,2.2,,
7/8/14,234994.16,6/20/14,595615.15,92266.2,0.0,,
7/9/14,131252.52,6/21/14,4893.75,4893.75,2.2,,
7/10/14,261340.27,6/22/14,6970,0,0.0,,
7/11/14,165587.34,6/23/14,911083.3,856545.23,0.0,,
7/14/14,256587.82,6/24/14,1023637.06,953052.47,1.8,,
7/15/14,245105.86,6/25/14,375091.02,210830.89,0.0,,
7/16/14,370171.04,6/26/14,821428.29,504222.2,0.0,,
7/17/14,1267455.66,6/27/14,639027.18,457348.12,1.8,,
7/18/14,148073.13,6/30/14,807850.26,267306.91,1.4,,
7/19/14,150,7/1/14,263650.88,70381.38,0.0,,
7/20/14,575,7/2/14,345165.62,206405.25,1.4,,
7/21/14,1791249.24,7/3/14,574819.23,154835.45,2.8,,
7/22/14,214895.61,7/4/14,1435484,1417206,3.0,,
7/23/14,235024.55,7/7/14,1137998.5,266482.22,3.0,,
